newspaper,publishing_date,page,article_title,content,notes_id,notes_en
Indonesia Merdeka,1960 - 05 - 04,1,Melawat ke Djerman Barat,"Tetapi kami, bangsa Djerman bekerdja keras dgn ulet. Seperti halnja djuga dgn Djerman, Perantjis, dan Italia mendapat bantuan dollar dari Amerika dlm rangka Marshall Plan. Bedanja ialah kami mempergunakan bantuan itu se efektif2nja sedangkan negara tsb tadi tidak.                                                                                                                                                                                                Seorang pekerdja biasa menjawab sbb: ""Dalam perang jl negara kamilah jg paling hantjur diseluruh Eropah, setelah eprang berachir rakjat Djerman jatuh miskin dan kelaparan. Tentu tuan mengerti bahwa diwaktu itu satu2nja alternatif bagi kami agar djangan mati kelaparan ialah bekerdja keras dgn segala tenaga jg ada"".                                                                                                                 Sebagai suatu bangsa jg disepandjang sedjarah terkenal sebagai bangsa militer, orang2 Djerman sangat berdisiplin. Djika bekerdja delapan djam sehari, maka jg delapan djam itu betul2 mereka djaikan sesuatu jg produktip. Ketika kami mengundjungi pabrik2 maupun kantor2 pemrintah, semua pekerdja dan pedjabat kami lihat sedang tekun bekerdja. Tak ada jg bermalas2, bersenda gurau atau membatja koran. Semuanja asjik dgn pekerdjaan mereka masing2. Disiplin dan tjata pada pekerdjaan ini disebabkan djuga oleh upah atau gadji jg tjukup ditambah lagi dgn tundjangan2 sosial lainnja. Untuk meninggikan mutu kerdja, dibanjak pabrik, misalnja pabrik Heidelberg Originaldi Woehen (Heildelberg jg membuat mesin2 tjetak, diberikan pula hadiah berupa uang kepada setiap pekerdja jg dapat memberikan usul2 untuk memperbaiki sistim kerdja.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1189)"
Indonesia Merdeka,1960-03-20,1,Rentjana 3 thn. projek kualisasi di Kalteng,"Dalam pembitjaraan Gubernur Kalimantan Tengah tgl 11 Maret 1960 dengan Menteri Pekerdjaan Umum dan Tenaga Ir. Dipokusumo, rentjana 3 tahun projex kanalisasi di Kalimantan Tengah jg merupakan sebagai sambutan dari program ,,Sandang Pangan"", maka projex daerah Pasang-Surut di Kalteng sepandjang 65 Km = 65.000 H.A jaitu: a) Basarang-Matin 12.000 HA, b) Minting - Sebangan 15.000 HA, c) Sebangan - Minting 15.000 HA, d) Katingan - Sebangan 15.000 HA, e) Sampit - Katingan 7.000 HA.                                                                                                                                                                                                                                  Bila dirawa2 tsb daerah pasang-surut digali terusan, dan hutan2 disebelah kanan-kirinja ditebang, maka diperoleh tanah pertanian baru. Tanah2 jang semula mengandung zat2 asam oleh hudjan akan ,,turtjutji"" bersih.                                                                                                                                  Air tjutjian tersebut oleh saluran2 (primair dan secondair) dan karena pasang surutnja air didalamnja akan dialirkan ke sungai2 dan achirnja ke laut.                                                                                                                                                                                    untuk perintjian biaja dan usaha2 menambah penduduk untuk usaha ini, telah diinstruksikan pada sdr Munasir Kepala Pekerdajaan Umum Kalimantan Tengah ke Djakarta dan saat ini sedang dirundingkan. Dan untuk ini telah ditambah 6 (enam) buah kapal Keruk jang baru untuk melantjarkan ,,Armada pengerukan tsb"", demikian Gubernur Tjilik Riwut",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1190)"
Duta Pantjasila,1959-08-12,1,Dr. J. Mulder Akan Segera Tinggalkan Indonesia Djaksa Agung Telah Diberhentikan dari Djabatannja ,"Dr. J. Mulder dalam bulan Agustus ini sudah harus tinggalkan Republik Indonesia karena tenaganja disini tidak dibutuhkan"". Demikian keterangan jang diperoleh „Antara"" dari pihak jang berkompetent. Seperti diketahui J. Mulder seorang Belanda jang tersangkut dalam peristiwa Smidt, Ia membuka praktek dokter gigi di Djakarta. Dari sumber ""Antara"" itu diperoleh keterangan bahwa keputusan untuk mengeluarkan J. Mulder dari Indonesia sudah keluar dan ditandatangi oleh Menteri Kehakiman Kabinet Karya Maengkom. Menurut keterangan PM (dalam Kabinet Karya) Djuanda dimuka Parlemen tanggal 24 April 1959 jl enam hari sebelum meninggalkan Indonesia H.C.J.C. Smidt/pada waktu itu sedang berada dalam tahanan pendjara di Tjipinang/berobat pada dokter gigi J. Mulder dengan mendapat izin dari Direktur rumah pendjara Tjipinang,
Schmidt mulai kabur
Mungkin pada kesempatan ini Smidt bertemu dengan seorang perwakilan Belanda di Indonesia untuk mengisi dan menandatangani formulir dari Djawatan Imigrasi guna memperoleh izin berangkat keluar negeri.
Seperti diketahui Schmidt „kabur"" ke Nederland dengan menumpang pesawat Quantas, Dan seperti diketahui pula bahwa kaburnja Schmidt itu mengakibatkan diberhentikannja Djaksa Agung Suprapto dari djabatannja.
Djaksa Agung dengan hormat diberhentikan
Dalam hubungan ini „Antara"" mengabarkan dari Djakarta bahwa Djaksa Agung pada Mahkamah Agung Indonesia R. Suprapto berdasarkan surat keputusan Presiden Republik Indonesia telah diberhentikan dengan hormat dari djabatan negeri, dan tetap dengan hak pensiun terhitung mulai sedjak achir Djuni '59.
Dalam surat keputusan itu ditjantumkan pula pernjataan terima kasih dan penghargaan Pemerintah atas djasa2 Suprapto kepada negara.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1191)"
Bintang Timur,1963-01-15,1,"PASUKAN2 RRT TRS DITARIK
India masih sadja belum puas","Pasukan2 RRT disepandjang seluruh perbatasan RRT ― India akan terus mundur „atas prakarsa sendiri” hari Senin dan Selasa ini, demikian diumumkan oleh djurubitjara kementerian pertahanan RRT hari Minggu.

Diterangkan di Peking, bahwa disektor timur pasukan2 perbatasan RRT hari Selasa akan sampai didaerah2 „sebelah utara garis kekuasaan jang sebenarnja antara Tiongkok dan India sebagaimana keadaannja pada tgl. 7 Nopember 1959.""

Disektor barat pasukan2 RRT hari Sclasa akan mundur ke „daerah2 diwilajah Tiongkok 20 kilometer dibelakang garis kekuasaan sebenarnja pada tgl. 7 Nopember 1959, jaitu garis biasa jang merupakan tradisi ketjuali pada beberapa pos pendjagaan jang didirikan sebelum itu (7 Nopember 1959)"". Pos2 pendjagaan ini, kata perajataan djubir, tersebut, akan diterus dikuasai dan diserahkan pada pengawasan polisi sipil.

Tetapi, demikian ditandaskan selandjutnja, pemerintah India bukannja mengambil langkah2 jg merupakan „djawaban positif” melainkan telah “terus-menerus berteriak menginginkan perang"", menerima antara lain bantuan2 militer AS dalam djumlah besar, dan „terus mempersiapkan perang"". 

India dituduh melakukan pelanggaram terhadap wilajah Tiongkok
Lebih djauh pernjataan djubir kementerian pertahanan RRT menuduh, bahwa India telah melakukan 26 kali pelanggaran ke dalam wilajah udara RRT antara tgl. 22 November 1962 hingga tgl. 10 Djanuari 1963, dan 8 pelanggaran oleh pasukan2 India. 

Dinjatakan dalam memorandum India Kamis jbl, bahwa India „tidak bersedia menerima garis jang oleh pemerintah RRT telah dinami „garis kekuasaan sebenarnja 7 Nopember 1959"", jang telah diputuskan setjara unilateral oleh pemerintah RRT sesuai dengan kemadjuan pasukan2nja"" (maksudnja pasukan2 RRT).",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1192)"
Kedaulatan Rakjat,1951 - 04 - 20,2,"D.P.D dulu, kepentingn rakjat boleh tunggu. ","Sebagai diketahi D.P.R.S. daerah Kotabesar Surakarta hingga kini telah 6 (enam) kali bersidang. Putusan terachir ialah disjahkannja Tata tertib, jang telah berkali-kali bersidang baru dapat selesai.                                                                                                     Lebih landjut wartawan KR mendapat keterangan dari fihak jang mengetahui bahwa dewasa ini Panilty Chucus jg terdiri dari 6 orang anggauta D.P.R diketaui oleh Ketua D.P.R (diwakili oleh Wakil Ketua-nja) beberapa hari ini mengadakan rapat berturut- turut untuk menjelesaikan putusan sidang D.P.R., a.l.                                                                                                                                                          1. Menentukan uang kehormatan D. P. D. (anggauta2 B. E.). Ketua dan Wakil Ketua D. P. R. S.; 2) Uang sidang untuk anggsutuž D. P. S.. 3). Uang kehormatan untuk Panilya ketjil2, missinja: Panitya Causus, Panitya Tata Tertib dsb nja, bilamana mereka mengadakan sidang sendiri.
Rentjana2 itu kelak akan diadjakan pada sidang D. P. R. S. jg akan datang, jang belum ada ketentuan bila akan dilangsungkan.                                                                                                                                                                                                                        Perlu kiranja didjelaskan, bahwa menurut Peraturan Kemeterian Dalam Negeri untuk Ketua dan Wakil Ketuga D.P.R.S. tidak mendapat uang kehormatan (honorarium). Rentjana jang dibuat oleh Panilty Chusus itulah jg kelas akan diadjukan serta kalau perlu disjahkan oleh sidang DPRS jad. untuk diusulkan diberikannja uang kehormatan pada Ketua dan wakil ketua D.P.R.S.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1193)"
Soera Oemoem,1946-12-21,1,PIDATO JONKMAN,"PIDATO JONKMAN,
Dalam djawaban Jonkman terhadap Tweede Kamer pada permoelaan, beliau mengatakan bahwa naskah sekarang telah disampaikan di Eerste Kamer dan Raad van State.
Dalam peroendingan2 jang telah dilakoekan ternjata bahwa ada perbedaan antara paham jang meminta soepaja djalannja peroendingan dilakoekan setjara normaal jang memakan waktoe jang lama dan dipihak lain lagi ada paham jang meminta soepaja dipertjepat sadja. Dalam hal ini Pemerintah mentjari djalan tengah. Memang Pemerintah menghendaki djalan normaal, tetapi keadaan jang abnormaal, jang loear biasa, seolah-olah memaksa Pemerintah mempertjepat proces terseboet.
""Jang mendjadi soal besar ialah sebetoelnja: pro atau anti Linggar Djati. Pemerintah menjetoedjoeinja dengan sepenoeh hati, meskipoen banjak keberatan2 jg. dapat dikemoekakan terhadapnja: maka oleh karena itoe sebagai kebiasaan dalam Volksraad saja akan beroesaha mejakinkan anggauta2 jang menetang sadja
Peroendingan.
Kesoekaran dalam pembitjaraan-pembitjaraan ialah bahwa ada orang-orang jang semata2 melihat dan mengingat masa jang telah silam dan ada poela jang melihat kemasa jang akan datang. Dan moengkin kedoea fihak sebenarnja menghendaki jang sama sadja. Pemerintah sendiri jang menghendaki kemadjoean, sedang mentjari pembaharoean dan melihat kemasa jg. akan datang.
Djika kita hanja mengingat masa jg. lampau, Linggar Djati dapat dianggap soeatoe penghinaan besar; djika mengingat masa jang akan datang Linggar Djati berarti masa gemilang boeat Nederland.
Memang kewadjiban Komisi Djendral sangat moelia apalagi dalam soeasana jang tidak sepatoetnja: moelia, djika kita mengingat masa jang akan datang, tidak sepatoetnja mengingat orang2 jang menghendaki hoeboengan kolonial lama kembali.
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1194)"
Duta Masjarakat,1965-05-22,1,NU Sudah Mentjerahkan Daftar 6 Djuta Anggotanja: Pe-nasakom-an Tanpa NU adalah Pintjang' kata H.Aminuddin Aziz.,"Djakarta, 21-5 (Antara)- Partai Nahdlatul Ulama telah menjerahkan kepada Pemerintah daftar resmi anggota2 jang sah sebanjak 6 djuta orang, demikian diterangkan Sekdjen NU H. Aminuddin Aziz kepada pers hari ini.                                                                         Didjelaskan bahwa sampai achir tahun jang lalu NU baru dapat mentjerahkan sebanjak 800 ribu anggota, akan tetapi pada achir Pebruari jang lalu NU telah dapat menambahkan 5,2 djuta sehingga seluruhnja berdjumlah 6 djuta.                                                                         Djumlah jang 6 djuta ini berjumlah merupakan daftar lengkap, karena sebagian besar wilajah jang fasilitas perhubungannja masih sangat kurang sampai sekrang belum dapat menjerahkan daftar lengkapnja. Dan djuga termasuk daftar anggota organisasi keluarga.                                                                                                                                                                                              Dapat didjadikan dasar peremadjaan DRPD2. Lebih landjut Sekdjen NU itu mengemukakan bahwa hasil pendaftaran anggota2 partai politik tsb jg merupakan pelaksanaan dari peraturan Presiden No. 13 tahun 1960 dapat didjadikan dasar bagi peremadjaan DPRD2 dan penjusunan anggota2 BPH gaja baru.                                                                                                                 Sekdjen NU itu djuga menundjukkan kepada kenjataanmasih adanja sementara usaha jang mentjoba-tjoba memasang Nasakom tanpa NU setjara wadjar. Misalnja, didalam BPH2 masih ada jang mentjoba meninggalkan NU Pe-Nasakomntan setiap alat revolusi tanpa NU adalah pintjang, dan malahan merupakan anti-revolusi. Demikian Sekdjen NU.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1195)"
Indonesia Merdeka,1960-03-26,1,Menteri Perhubungan Darat & P.T.T. Banjak perusahaan pengangkutan jg. merugikan,"Menteri Perhubungan Darat dan PTT Djenderal Major Djatikusumo dalam pertjakapan dengan PIA menerangkan, bahwa sekarang ini banjak perusahaan pengangkutan jang tidak ekonomis dan merugikan rakjat. Jang dimaksud oleh Menteri Djatikusomo ialah perusahaan jang hanja mempunjai 1 atau 2 kendaraan sadja

Ini, kata Menteri, menjulitkan dalam hal pembagian Spare partanja. Menteri Djatikusumo menganjurkan agar perusahaan2 sematjam ini mengadakan penggabungan diantara sesamanja dan membentuk suatu koperasi perusahaan pengangkutan.

Tiap Koperasi hendaknja mempunjai satu unit jang terdiri dari lima atau lebih kendaraaan. Hal ini akan menguatkan bagi Koperasi itu sendiri, dan memudahkan usaha spare partanja:

Menteri Djatikusomo menegaskan kembali, bahwa dalam usaha pengangkutan masih ada tempat untuk usaha2 swasta; tetapi tempat2 ini terutama disediakan untuk Koperasi2. Guna mentjukupi kebutuhan alat2 pengangkutan, baik pengangkutan barang2 maupun pengangkutan manusia dikota2, usaha pemerintah pertama2 ditudjukan dalam menambah alat2 pangangkutan untuk orang banjak seperti bus2.

Mengenai trem, baik sekarang jang masih berdjalan di Djakarta maupun trem dikota Surabaja, menurut Menteri Djatikusomo tidak dapat terus dipertahankan. Semua trem akan dihapuskan. Tetapi untuk sekarang penghapusan trem baru sadja dilakukan di Djakarta, sedang di Surabaja untuk sementara masih akan berdjalon terus. Karena, Menurut Menteri, keadaan menurut lalu lintas di Surabaja sekarang belum sampai sedemikian rupa, seperti keadaan lalu lintas di Djakarta. Tentang pengawasannja sebagian besar disalurkan ke DAMRI dan PPD dan sebagian untuk sementara disalurkan ke trem Surabaja, sedang sementara trem dikota tsb masih belum perlu dihapuskan.
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1196)"
Soera Oemoem,1947-01-23,2,"Tenaga dan modal Tionghoa
DALAM PEMBANGOENAN INDODONESIA","Tenaga dan modal Tionghoa
DALAM PEMBANGOENAN INDODONESIA.
SOEATOE berita Antara jang disiarkan dalam berbaga s.s.k., tidak boleh kita abaikan ke pentingannja.
Kita koetip dibawah ini:
N.V. Import en Export Mij ""Indonesia"" jang berpoesat d Djokja, dengan modal 5 djoeta telah didirikan dengan resmi Pimpinan Maskapai itoe ada ditangan t.t. Soewarno, Halim Berahim dan Kwee Kin Sing.
Tjabang2 dan kantornja kini telah disediakan di Tegal, Tjilatjap, Poerbolinggo, Tjirebon, Poerwakarta, Magelang, Kediri dan Modjokerto.
(Demikian berita itoe, sedang beberapa minggoe jang laloe di Djakarta telah didirikan Banking and Trading Corporation (Bank Perniagaan), jang sebagian besar dari modalnja (60%) dari Pemerintah (Bank Negara) dan sebagian lagi dari oemoem, dan diantaranja tilak sedikit dari pehak Tionghoa.
Itoelah sebabnja, diantara, direktoernja poen ada terpilih toean Ong Eng Djie, seorang doktor daam ilmoe perniagaan serta pewagai2 tingginja poen adalah tjampoeran bangsa Indonesia dan Tiong Hoa.
Memang soedah waktoenja oesaha dan pekerdjaan bersama itoe tidak hanja dalam teorie semata2 lagi, melainkan dalam praktek dan dalam oesaha jang njatapoen haroeslah ditoendjoekkan.
Tjaranja, adalah seperti diatas tadi!
Modal dan tenaga digaboengkan, disertai dengan ketjakapan dan pengalaman orang Tiong Hoa, tentoelah kita akan mendapat hasil jang baik bagi negeri kita.
Kita andjoerkan, moedah-moedahan tjontoh2 jang baik seperti di Djakarta dan Djokja itoe bertambah banjak kiranja belangsoeng dalam praktek.
Dan ini ada soeatoe kenjataan jg. menoendjoekkan kepada golongan T. H. bahwa bangsa Indonesia tidak hendak hidoep sendiri tapi maoe memberi kesempatan jang loeas kepada golongan T. H. oentoek kerdjasama!
Solo, 20/1 (Antara):
Mr. X.",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1197)"
Bintang Timur ,1963-04-18,1,Pemuda Indonesia Sumut siap dikirim ke KU A. Fadillah: Gerilja2 KU kuasai pinggiran kota,"Perutusan dari gerakan pemuda pemuda Indonesia Sumatera Utara dibawah pimpinan Zoelkarnain menegaskan kesiapsiagaannja untuk dikirim ke Kalimantan Utara sebagal sukarelawan guna berdjuang bersama rakjat disana utk menggagalkan gagasan Malaysia tjiptaan Tengku Abdul Rachman jang didalangi Imperialis Inggris.
Ketegasan sikap jang demikian itu oleh perutusan Pemuda Indonesia Sumatera Utara disampalkan kepada Entjik Ahmad Fadillah, kepala Perwakilan Pemerintah Revolusioner Negara Kesatuan Kalimantan Utara ketika berkundjung padanja baru ini
Entjik Ahmad Fadillah jang menjambut hangat dan gembira pula terhadap sikap gerakan pemuda itu pun dalam pertemuan itu memberikan keterangan panjang lebar tentang situasi perjuangan rakjat Kalimantan Utara,
Ditandaskan, bahwa dalam konfrontasi bersendjata sekarang ini rakjat Kalimantan Utara mendjalankan siasat perang gerilja Jang berlangsung diseluruh Kalimantan Utara dan menguasai pinggiran2 kota. Walaupun Tengku Abdurachman dan Inggris mengerahkan kekuatan serdadunja dengan persendjataan lengkap dan modern, namun selalu dapat di lawan dan dipatahkan oleh Tentara Nasional Kalimantan Utara jang bedjuang bahu membahu dengan rakjat.
Terhadap Sultan Brunei, rakjat Kalimantan Utara berpendirlan: Kalau Sultan berada dipihak rakjat, maka dia adalah Sultannja rakjat, tetapi kalau Sultan memihak inggeris maka dia adalah Sultannja Inggeris. Mengenai sikapnja terhadap andjuran Konfederasi Asia Tenggara dari Macapagal, di mana NKKU pun direntjanakan termasuk di dalamnja, Entjik Ahmad Fadillah berkata ""Soalnja lalah Kalimantan Utara harus Setaraf dan sederadjat dahulu dengan bangsa2 merdeka lainnja. Setelah merdeka, persoalannja terserah pada rakjatnja sendiri, akan mengadakan konfederasi apakah tidak"".",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1198)"
Duta Masjarakat,1965-05-22,1,Interview TV RI Dengan Tokoh2 Nasakom,"Budi S.S: Terima kasih pak Subehan kami ingin mendengarkan disini pendapat Pak Aidit dan tokoh kita.                                                                           AIDIT: Mendjawab faktor objektif seperti apa jang melahirkan hari Kebangkitan Nasional, saja kira ada dua faktor. Faktor dalam negeri dan faktor luar negeri. Faktor dalam negeri ialah berhubun dengan kaum imperialis pada waktu itu telah demi kepentingan penindasannja mereka berusaha melahirkan inteligensis dikalangan Indonesia aja dengan mendapat tenaga murah intelegensia Indonesia. Disamping itu di Indonesia djuga sudah lahir golongan2 pengusaha2 seperti diterangkan oleh Pak Ali dan saudara2 Subhan tadi. Dengan adanja pengusaha2 dagang dan ini menghendaki kebebasan negeri pada asing. Sekalipun pada waktu itu masih samar2 tetapi maksudnja menghendaki kebebasan. Disamping itu faktor internasional jang dibilang Pak Ali tadi jakni ada faktor Djepang melawan Tzarisma Rusia. Tapi saja kira djuga penting faktor internasional jang berupa gerakan sosialis di Eropa jg tahun 1905 berbentuk Revolusi Proletar melawan tzarisma Rusia. Djadi, Tzarisma Rusia itu satu pihak digempur oleh kelas buruh di Rusia sendiri. Dan ini merupakan satu pukulan terhadap sistem monopoli kapitalisme pada waktu itu dengan menggegerkan dan menggontjangkan sistem imperialisme. Itulah saja kira kalau berbitjara tentang faktor2 objektif dalam negeri dan luar negeri dan jang menimbulkan hari Kebangkitan Nasional kita.                                                                                                             BUDI S.S: Terima kasih pak Aidit, dan saudara sekalian, kita telah mendengarkan analisa dari ketiga tokoh politik kita, Pak Ali, Pak Subhan, dan Pak (bersambung ke hal 11)",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1199)"
Soera Oemoem,1946-12-11,1,RAPAT KOENSTITOESI INDIA DIBOEKA,"RAPAT KOENSTITOESI INDIA DIBOEKA
SEBAGAIMANA dikabarkan, permoesjawaratan medja boendar India di London gagal, karena antara Hindoe dan Moeslimin serta wakil golongan2 di India beloem berani mengemoekakan pendirian atau mengambil poetoesan sebeloem mereka beroending dahoeloe dengan golongan mereka masing-masing.
Dikabarkan, bahwa Nehru telah kembali ke India sebeloam peroendingan konstitoesi dimoelai di New Delhi, Jinnah dan Ali Khan boeat sementara waktoe tinggal di India. Beloem diketahoei bilamana Lord Wavell akan tiba kembali di India. Moengkin sekali Attlee perdana menteri Inggris akan memberikan laporan tentang peroendingan India di London itoe kepada Parlemen Inggris.
REUTER dari New Delhi mengabarkan hari ini, bahwa pagi tadi telah diboeka rapat membentoek konstitoesi India tang diwadjibkan beroesaha membentoek oendang2 dasar India jang mana ini sangat berat sekali.
Tidak hadirnja 74 anggota Liga Moelim, jang telah memoetoeskan memboykot rapat terseboet, menjatakan, bahwa rapat terseboet 
New Delhy: Selasa
tidak dapat mendjadi satoe perwakilan penoeh dari seloeroeh bangsa India.
Masjarakat Islam hanja diwakili oleh 6 orang Islam jang tidak termasoek dalam Liga Moeslim.
Dr. Sachidananda Singh, beroesia 75 tahoen dan anggota tertoea dalam rapat terseboet, memegang kedoedoekan sebagai ketoea. Dalam pidato pemboekaannja ia mengemoekakan tjontoh oendang2 dasar Amerika, dan mengingatkan kembali, bahwa djalan pertama jang paling terang oentoek memoelai rapat-membentoek-konstitoesi boeat India, walaupoen dengan nama jang lain, dapat diketemoekan dalam permakloeman Gandhi tahoen 1922.
Rapat pembentoek konstitoesi itoe mendapat samboetan harapan-baik dari kementerian loear negeri Inggris, dan dari pemerintah nasional Tiongkok.
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1200)"
Duta Masjarakat,1963-09-15,2,Nanti Malam Hudjan,"Nanti malam hudjan tampaknja djadi tjita2 tiap orang jg sedang memandang kelangit jg dilihatnja berwarna kelabu. Namun, jang ditunggui tidak kundjung datang.
Dulu terkenal ketentuan bahwa dibulan2 jg berachiran dengan ber"", misalnja September atau Oktober, sudah dapat dipastikan hudjan akan turun. Musim pun kelihatannja disiplin.
Sekarang, keadaannja agak membimbangkan. Kadang kala musim panas agak terlandjur memandjangkan tugasnja. Kadangkala, begitu hudjan turun, seperti penuh dendam tertjurah habis2an, sampai chalajak sulit pula di buatnja.
Ada apa dengan reservoir langit? Demikian orang bertanja2. Akibat air kurang tenaga listrik pun dikekang. Walaupun kenjataan ini diterima dgn penuh mengerti dan penuh ketabahan, namun tentulah membosankan djuga. Sebentar terang sebentar gelap sudah barang tentu tidak menentramkan. Namun apa daja?
Air sungai kering Kali Tjiliwung, jg didjadikan kamar mandi oleh mereka2 jg tak mempunjai, mendjadi kering dan permukaannja djauh merosot kebawah. Di samping rupanja mendjadi buruk, djuga mendatangkan kesulitan jang tak sedikit buat mereka jang memerlukan nja.
Sumurpun tak ketinggalan. Ikut rusak oleh derita sang musim. Dibanjak tempat, tak müngkin kita menimba senaknja sadja. Airnja ogah2an masuk kedalam timba. Buat mereka jg menerima penderitaan ini, tak ada djalan lain daripada membeli air pikulan. Kalau sepikul duapuluh rupiah, bukankah satu masalah djuga?
Kalau kita punja waduk jg tjukup perkasa, bisa menguwasai ala kadarnja hudjan jang tertjurah disatu tempat, tentulah tidak begitu djadi soal. Sewaktu2 tabungan air bisa dipergunakan.
Tampaknja, sembahjang minta hudjan belum terdengar berbgai tahun2 lalu. Kalau musim panas hegini naga2nja sampai kelewat batas, tentulah akan dilaksanakan djuga",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1201)"
Soera Oemoem,1946-12-11,1,PISHEVARI MENANTANG,"PISHEVARI MENANTANG
Tentera Sultaneh menjerboe batas Iran-Adzerbaidsjan
GHAVAM es Sultaneh perdana menteri Persia mengoemoemkan proklamasi dimoeka radio, dalam mana ia berkata pasoekan2 Persia jang sekarang telah dipersiapkan diperbatasan Adzerbaidsjan, dalam tempo jang singkat akan mendoedoeki seloeroeh peropinsi Adzerbaidsjan oentoek mengadakan pengawasan pada pemilihan oemoem pada hari Reboe (hari ini Red. S.O.) jad.
Sultaneh dalam proklamasinja menjeroekan kepada pendoedoek Adzerbaidsjan soepaja djangan mengganggoe pasoekan2 jang merasoeki daerahnja, tetapi djika mereka djoega akan mentjoba menghalangi pasoekan2 itoe, mereka akan diberi hoekoeman berat. Tidak ada bedanja antara pengiriman pasoekan2 kepropinsi Adzerbaidsjan dengan pengiriman pasoekan2 kepropinsi lainnja oentoek mengadakan pengawasan pada pemilihan oemoem jg. akan datang, demikian kata Sultaneh.
Menilik sikap jang telah dikeloearkan oleh Pishevari P. M. Adzerbaidsjan, dapat didoega bahwa pada pelanggaran perbatasan itoe akan timboel perasaan permoesoehan.
Pishevari tidak menoenggoe lama memberi djawaban, Beberapa djam sesoedah proklamasi Sultaneh itoe, Pishevari dengan melaloei radio menjeroekan kepada seloeroeh pemoeda2 Adzerbaldsjan, teroetama kaoem stoeden2, soepaja bersendjata. Ia memperingatkan, bahwa rakjat Adzerbaidsjan akan memberikan perlawanan.""
""Pemoeda2 kita hanja menoenggoe perintah oentoek menjerboe Teheran dan mengibarkan bendera kebangsaan kita diatas Madjelis (dewan perwakilan)"" katanja. ""Kita dapat memastikan, bahwa seloeroeh Perzie akan berdiri difihak kita.""
Mesin2 terbang pemerintah sentral (pemerintah Persia) melajang-lajang diatas Tabriz (iboe kota Adzerbaidsjan-Red S. O.) sambil menjebarkan pamflet2 dalam mana tertera proklamasi Sultaneh.
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1202)"
Duta Masjarakat,1965-05-22,2,Dalam tahap Revolusi Ormas² Tani memag harus peranan politik,"Dalam tahap revolusi sekarang ini, peranan jang sangat menondjol dari ormas2 tani, memang harus peranan politik karena kaum tani masih ditindas oleh penghisapan dobel jakni dari feodalisma dan kapitalisma, demikian Bambang Murtloso, ketua periodik Sekretariat Bersama Ormas2 Tani ketua Presidium Mubes Tani Seluruh Indonesia njatakan dalam tjeramahnja didepan para dosen dan mahasiswa Institut Pertanian Bogor, ormas2 tani dan para undangan lainnja di Bogor hari Kamis bertempat di Aula Fakultas Kehewanan Bogor.

Untuk menghapuskan itu, kata pemberi tjeramah, maka jang sangat penting ialah perombakan stelselnja dan perombakan sistimnja. Salah satu usaha untuk perombakan sistim itu ialah dengan adamja landreform (UUPA dan UU PBH).

Perdjoangan tani belum selesal
Oleh pembitjara ditandaskan hendaknja djangan orang beranggapan bahwa dengan UUPA-UUPBH itu perdjoangan kaum tani sudah selesal. -

Hal itu tidak dibenarkan, karena UUPA-UUPBH pada hakekatnja barulah pembatasan2 untuk mengurangi adanja ex-ploitation de l'homme par l'homme. Tapi djuga bukan berarti bahwa UUPA-UUPBH itu harus dilampaui, UUPA-UUPBH harus dilaksanakan setjara konsekwen bila kita akan menudju ketingkat jang lebih madju.

Peranan ormas2 tani, menurut Bambang Murtioso lalah meliputi 8 bidang, jakni peranan politik, peranan ekonomi dan peranan tehnik. Dan tiap2 ormas tani jang ada sekarang ini menondjolkan peranan tesebut.

Ia lebih landjut mengemukkan beberapa tjontoh tentang usaha2 pendjegalan pelaksanaan UUPA-UUPBH dan soal2 jang timbul akibat pelaksanan undang2 tersebut.

Dalam tjeramah tsb ditekakannja pula tentang pentingnja integrasi antara Univers tas2 dan Sardjana2nja dengan gerakan2 tani untuk dapat di udjudkan setjara kongkrit utk bersama2 membebaskan kaum tani
",,"=AI(""Please translate to english, do not translate inside doble quotes"",F1203)"
